"","x"
"1","M00436_250_000000000-B2LGJ_1_2113_3232_13046	Eukaryota(100);Alveolata(89);Dinoflagellata(81);Dinophyceae(80);Dinophyceae_unclassified(80);Dinophyceae_unclassified(80);Dinophyceae_unclassified(80);Dinophyceae_unclassified(80);"
"2","M00436_250_000000000-B2LGJ_1_1113_23750_12241	Eukaryota(100);Stramenopiles(80);Stramenopiles_unclassified(80);Stramenopiles_unclassified(80);Stramenopiles_unclassified(80);Stramenopiles_unclassified(80);Stramenopiles_unclassified(80);Stramenopiles_unclassified(80);"
"3","M00436_250_000000000-B2LGJ_1_1112_28276_16473	Eukaryota(100);Alveolata(99);Dinoflagellata(97);Dinophyceae(97);Dinophyceae_unclassified(97);Dinophyceae_unclassified(97);Dinophyceae_unclassified(97);Dinophyceae_unclassified(97);"
"4","M00436_250_000000000-B2LGJ_1_1114_20065_21805	Eukaryota(97);Eukaryota_unclassified(97);Eukaryota_unclassified(97);Eukaryota_unclassified(97);Eukaryota_unclassified(97);Eukaryota_unclassified(97);Eukaryota_unclassified(97);Eukaryota_unclassified(97);"
"5","M00436_250_000000000-B2LGJ_1_1111_11104_22761	Eukaryota(100);Eukaryota_unclassified(100);Eukaryota_unclassified(100);Eukaryota_unclassified(100);Eukaryota_unclassified(100);Eukaryota_unclassified(100);Eukaryota_unclassified(100);Eukaryota_unclassified(100);"
"6","M00436_250_000000000-B2LGJ_1_1111_9860_25407	Eukaryota(100);Eukaryota_unclassified(100);Eukaryota_unclassified(100);Eukaryota_unclassified(100);Eukaryota_unclassified(100);Eukaryota_unclassified(100);Eukaryota_unclassified(100);Eukaryota_unclassified(100);"
"7","M00436_250_000000000-B2LGJ_1_1112_7800_9958	unknown;unknown_unclassified(0);unknown_unclassified(0);unknown_unclassified(0);unknown_unclassified(0);unknown_unclassified(0);unknown_unclassified(0);unknown_unclassified(0);"
"8","M00436_250_000000000-B2LGJ_1_1113_17877_23390	Eukaryota(99);Eukaryota_unclassified(99);Eukaryota_unclassified(99);Eukaryota_unclassified(99);Eukaryota_unclassified(99);Eukaryota_unclassified(99);Eukaryota_unclassified(99);Eukaryota_unclassified(99);"
"9","M00436_250_000000000-B2LGJ_1_1112_13366_2825	Eukaryota(100);Eukaryota_unclassified(100);Eukaryota_unclassified(100);Eukaryota_unclassified(100);Eukaryota_unclassified(100);Eukaryota_unclassified(100);Eukaryota_unclassified(100);Eukaryota_unclassified(100);"
"10","M00436_250_000000000-B2LGJ_1_1111_20315_9862	Eukaryota(96);Eukaryota_unclassified(96);Eukaryota_unclassified(96);Eukaryota_unclassified(96);Eukaryota_unclassified(96);Eukaryota_unclassified(96);Eukaryota_unclassified(96);Eukaryota_unclassified(96);"
"11","M00436_250_000000000-B2LGJ_1_2112_5098_18035	Eukaryota(100);Eukaryota_unclassified(100);Eukaryota_unclassified(100);Eukaryota_unclassified(100);Eukaryota_unclassified(100);Eukaryota_unclassified(100);Eukaryota_unclassified(100);Eukaryota_unclassified(100);"
"12","M00436_250_000000000-B2LGJ_1_1113_19682_22021	Eukaryota(100);Alveolata(97);Dinoflagellata(95);Dinophyceae(94);Dinophyceae_unclassified(94);Dinophyceae_unclassified(94);Dinophyceae_unclassified(94);Dinophyceae_unclassified(94);"
"13","M00436_250_000000000-B2LGJ_1_1113_6594_9497	Eukaryota(98);Eukaryota_unclassified(98);Eukaryota_unclassified(98);Eukaryota_unclassified(98);Eukaryota_unclassified(98);Eukaryota_unclassified(98);Eukaryota_unclassified(98);Eukaryota_unclassified(98);"
"14","M00436_250_000000000-B2LGJ_1_2112_21322_6326	unknown;unknown_unclassified(0);unknown_unclassified(0);unknown_unclassified(0);unknown_unclassified(0);unknown_unclassified(0);unknown_unclassified(0);unknown_unclassified(0);"
"15","M00436_250_000000000-B2LGJ_1_2111_21266_18770	Eukaryota(100);Alveolata(85);Alveolata_unclassified(85);Alveolata_unclassified(85);Alveolata_unclassified(85);Alveolata_unclassified(85);Alveolata_unclassified(85);Alveolata_unclassified(85);"
"16","M00436_250_000000000-B2LGJ_1_2101_18911_20416	Eukaryota(100);Eukaryota_unclassified(100);Eukaryota_unclassified(100);Eukaryota_unclassified(100);Eukaryota_unclassified(100);Eukaryota_unclassified(100);Eukaryota_unclassified(100);Eukaryota_unclassified(100);"
"17","M00436_250_000000000-B2LGJ_1_1113_14152_25074	Eukaryota(99);Eukaryota_unclassified(99);Eukaryota_unclassified(99);Eukaryota_unclassified(99);Eukaryota_unclassified(99);Eukaryota_unclassified(99);Eukaryota_unclassified(99);Eukaryota_unclassified(99);"
"18","M00436_250_000000000-B2LGJ_1_1113_6122_12556	Eukaryota(100);Stramenopiles(98);Opalozoa(87);MAST-3(86);MAST-3I(86);MAST-3I_X(86);MAST-3I_XX(86);MAST-3I_XX_sp.(86);"
"19","M00436_250_000000000-B2LGJ_1_1113_15720_19795	Eukaryota(98);Alveolata(94);Dinoflagellata(92);Dinophyceae(89);Dinophyceae_unclassified(89);Dinophyceae_unclassified(89);Dinophyceae_unclassified(89);Dinophyceae_unclassified(89);"
"20","M00436_250_000000000-B2LGJ_1_1114_7020_14141	Eukaryota(99);Eukaryota_unclassified(99);Eukaryota_unclassified(99);Eukaryota_unclassified(99);Eukaryota_unclassified(99);Eukaryota_unclassified(99);Eukaryota_unclassified(99);Eukaryota_unclassified(99);"
"21","M00436_250_000000000-B2LGJ_1_1111_28463_13414	Eukaryota(97);Eukaryota_unclassified(97);Eukaryota_unclassified(97);Eukaryota_unclassified(97);Eukaryota_unclassified(97);Eukaryota_unclassified(97);Eukaryota_unclassified(97);Eukaryota_unclassified(97);"
"22","M00436_250_000000000-B2LGJ_1_2113_13939_25680	Eukaryota(93);Stramenopiles(82);Ochrophyta(80);Ochrophyta_unclassified(80);Ochrophyta_unclassified(80);Ochrophyta_unclassified(80);Ochrophyta_unclassified(80);Ochrophyta_unclassified(80);"
"23","M00436_250_000000000-B2LGJ_1_1101_17091_22596	Eukaryota(100);Rhizaria(100);Radiolaria(100);Polycystinea(100);Spumellaria(100);Spumellaria_unclassified(100);Spumellaria_unclassified(100);Spumellaria_unclassified(100);"
"24","M00436_250_000000000-B2LGJ_1_1111_8362_12369	Eukaryota(100);Stramenopiles(93);Ochrophyta(85);Pelagophyceae(82);Pelagophyceae_unclassified(82);Pelagophyceae_unclassified(82);Pelagophyceae_unclassified(82);Pelagophyceae_unclassified(82);"
"25","M00436_250_000000000-B2LGJ_1_1113_3430_9923	Eukaryota(100);Alveolata(95);Dinoflagellata(82);Dinoflagellata_unclassified(82);Dinoflagellata_unclassified(82);Dinoflagellata_unclassified(82);Dinoflagellata_unclassified(82);Dinoflagellata_unclassified(82);"
"26","M00436_250_000000000-B2LGJ_1_2112_7699_5359	Eukaryota(100);Stramenopiles(81);Stramenopiles_unclassified(81);Stramenopiles_unclassified(81);Stramenopiles_unclassified(81);Stramenopiles_unclassified(81);Stramenopiles_unclassified(81);Stramenopiles_unclassified(81);"
"27","M00436_250_000000000-B2LGJ_1_2101_26938_17795	Eukaryota(99);Eukaryota_unclassified(99);Eukaryota_unclassified(99);Eukaryota_unclassified(99);Eukaryota_unclassified(99);Eukaryota_unclassified(99);Eukaryota_unclassified(99);Eukaryota_unclassified(99);"
"28","M00436_250_000000000-B2LGJ_1_1109_19188_15823	Eukaryota(99);Eukaryota_unclassified(99);Eukaryota_unclassified(99);Eukaryota_unclassified(99);Eukaryota_unclassified(99);Eukaryota_unclassified(99);Eukaryota_unclassified(99);Eukaryota_unclassified(99);"
