Sample,Phylum,Class,Order,Family,Genus,Species,Percent
9_40m,Alveolata,Ciliophora,Ciliophora_unclassified,Ciliophora_unclassified,Ciliophora_unclassified,Ciliophora_unclassified,0.615258409
9_40m,Alveolata,Ciliophora,Spirotrichea,Hypotrichia,Holostichidae,Holostichidae_unclassified,0.041017227
9_40m,Alveolata,Ciliophora,Spirotrichea,Spirotrichea_unclassified,Spirotrichea_unclassified,Spirotrichea_unclassified,3.158326497
9_40m,Alveolata,Ciliophora,Spirotrichea,Strombidiida,Strombidiida_unclassified,Strombidiida_unclassified,2.871205906
9_40m,Alveolata,Ciliophora,Spirotrichea,Strombidiida,Strombidiidae,Strombidiidae_unclassified,0.041017227
9_40m,Alveolata,Ciliophora,Spirotrichea,Strombidiida,Strombidiidae_J,Strombidiidae_J_X,0.287120591
9_40m,Alveolata,Ciliophora,Spirotrichea,Strombidiida,Strombidiidae_K,Strombidium_K,0.041017227
9_40m,Alveolata,Ciliophora,Spirotrichea,Strombidiida,Tontoniidae_A,Spirotontonia,0.410172272
9_40m,Alveolata,Ciliophora,Spirotrichea,Strombidiida,Tontoniidae_A,Tontoniidae_A_unclassified,0.082034454
9_40m,Alveolata,Ciliophora,Spirotrichea,Strombidiida,Tontoniidae_B,Tontoniidae_B_unclassified,0.410172272
9_40m,Alveolata,Ciliophora,Spirotrichea,Strombidiida,Tontoniidae_B,Tontoniidae_B_X,0.041017227
9_40m,Alveolata,Ciliophora,Spirotrichea,Strombidiida_D,Strombidiida_D_X,Strombidiida_D_XX,0.082034454
9_40m,Alveolata,Ciliophora,Spirotrichea,Strombidiida_F,Strombidiida_F_X,Strombidiida_F_XX,0.164068909
9_40m,Alveolata,Ciliophora,Spirotrichea,Tintinnida,Eutintinnidae,Eutintinnus,0.123051682
9_40m,Alveolata,Ciliophora,Spirotrichea,Tintinnida,Rhabdonellidae,Rhabdonellidae_unclassified,0.041017227
9_40m,Alveolata,Ciliophora,Spirotrichea,Tintinnida,TIN_02,TIN_02_unclassified,0.082034454
9_40m,Alveolata,Ciliophora,Spirotrichea,Tintinnida,Tintinnida_unclassified,Tintinnida_unclassified,0.574241181
9_40m,Alveolata,Ciliophora,Spirotrichea,Tintinnida,Tintinnidae,Tintinnidae_unclassified,0.082034454
