"","sample_names[1]","Phylum","Class","Order","Family","Genus","Species","SUM"
"1","WHOI010_V9_S94_L001_380m_18S_taxonomy_2500_subsampled.NEW.csv","Alveolata","Alveolata_unclassified","Alveolata_unclassified","Alveolata_unclassified","Alveolata_unclassified","Alveolata_unclassified",61
"2","WHOI010_V9_S94_L001_380m_18S_taxonomy_2500_subsampled.NEW.csv","Alveolata","Ciliophora","Ciliophora_unclassified","Ciliophora_unclassified","Ciliophora_unclassified","Ciliophora_unclassified",21
"3","WHOI010_V9_S94_L001_380m_18S_taxonomy_2500_subsampled.NEW.csv","Alveolata","Ciliophora","Heterotrichea","Heterotrichea_X","Peritromidae","Peritromus",1
"4","WHOI010_V9_S94_L001_380m_18S_taxonomy_2500_subsampled.NEW.csv","Alveolata","Ciliophora","Spirotrichea","Spirotrichea_unclassified","Spirotrichea_unclassified","Spirotrichea_unclassified",52
"5","WHOI010_V9_S94_L001_380m_18S_taxonomy_2500_subsampled.NEW.csv","Alveolata","Ciliophora","Spirotrichea","Strombidiida","Strombidiida_unclassified","Strombidiida_unclassified",73
"6","WHOI010_V9_S94_L001_380m_18S_taxonomy_2500_subsampled.NEW.csv","Alveolata","Ciliophora","Spirotrichea","Strombidiida","Strombidiidae_D","Strombidiidae_D_X",1
"7","WHOI010_V9_S94_L001_380m_18S_taxonomy_2500_subsampled.NEW.csv","Alveolata","Ciliophora","Spirotrichea","Strombidiida","Tontoniidae_B","Tontoniidae_B_unclassified",7
"8","WHOI010_V9_S94_L001_380m_18S_taxonomy_2500_subsampled.NEW.csv","Alveolata","Ciliophora","Spirotrichea","Strombidiida","Tontoniidae_B","Tontoniidae_B_X",2
"9","WHOI010_V9_S94_L001_380m_18S_taxonomy_2500_subsampled.NEW.csv","Alveolata","Ciliophora","Spirotrichea","Tintinnida","Tintinnida_unclassified","Tintinnida_unclassified",2
"10","WHOI010_V9_S94_L001_380m_18S_taxonomy_2500_subsampled.NEW.csv","Alveolata","Ciliophora","Spirotrichea","Tintinnida","Tintinnidae","Amphorellopsis",1
"11","WHOI010_V9_S94_L001_380m_18S_taxonomy_2500_subsampled.NEW.csv","Alveolata","Ciliophora","Spirotrichea","Tintinnida","Tintinnidae","Salpingella",2
"12","WHOI010_V9_S94_L001_380m_18S_taxonomy_2500_subsampled.NEW.csv","Alveolata","Ciliophora","Spirotrichea","Tintinnida","Tintinnidae","Tintinnidae_unclassified",1
"13","WHOI010_V9_S94_L001_380m_18S_taxonomy_2500_subsampled.NEW.csv","Alveolata","Dinoflagellata","Dinoflagellata_unclassified","Dinoflagellata_unclassified","Dinoflagellata_unclassified","Dinoflagellata_unclassified",17
"14","WHOI010_V9_S94_L001_380m_18S_taxonomy_2500_subsampled.NEW.csv","Alveolata","Dinoflagellata","Dinophyceae","Dinophyceae_unclassified","Dinophyceae_unclassified","Dinophyceae_unclassified",305
"15","WHOI010_V9_S94_L001_380m_18S_taxonomy_2500_subsampled.NEW.csv","Alveolata","Dinoflagellata","Dinophyceae","Dinophyceae_X","Dinophyceae_X_unclassified","Dinophyceae_X_unclassified",1
"16","WHOI010_V9_S94_L001_380m_18S_taxonomy_2500_subsampled.NEW.csv","Alveolata","Dinoflagellata","Dinophyceae","Dinophyceae_X","Dinophyceae_XX","Abedinium",1
"17","WHOI010_V9_S94_L001_380m_18S_taxonomy_2500_subsampled.NEW.csv","Alveolata","Dinoflagellata","Dinophyceae","Gonyaulacales","Gonyaulacaceae","Gonyaulax",1
"18","WHOI010_V9_S94_L001_380m_18S_taxonomy_2500_subsampled.NEW.csv","Alveolata","Dinoflagellata","Dinophyceae","Gymnodiniales","Gymnodiniaceae","Gymnodiniaceae_unclassified",6
"19","WHOI010_V9_S94_L001_380m_18S_taxonomy_2500_subsampled.NEW.csv","Alveolata","Dinoflagellata","Dinophyceae","Gymnodiniales","Gymnodiniaceae","Gymnodinium",11
"20","WHOI010_V9_S94_L001_380m_18S_taxonomy_2500_subsampled.NEW.csv","Alveolata","Dinoflagellata","Dinophyceae","Gymnodiniales","Gymnodiniaceae","Gyrodinium",13
"21","WHOI010_V9_S94_L001_380m_18S_taxonomy_2500_subsampled.NEW.csv","Alveolata","Dinoflagellata","Dinophyceae","Gymnodiniales","Gymnodiniales_unclassified","Gymnodiniales_unclassified",7
"22","WHOI010_V9_S94_L001_380m_18S_taxonomy_2500_subsampled.NEW.csv","Alveolata","Dinoflagellata","Dinophyceae","Gymnodiniales","Kareniaceae","Kareniaceae_unclassified",5
"23","WHOI010_V9_S94_L001_380m_18S_taxonomy_2500_subsampled.NEW.csv","Alveolata","Dinoflagellata","Dinophyceae","Gymnodiniales","Kareniaceae","Karlodinium",2
"24","WHOI010_V9_S94_L001_380m_18S_taxonomy_2500_subsampled.NEW.csv","Alveolata","Dinoflagellata","Dinophyceae","Peridiniales","Amphidomataceae","Azadinium",3
"25","WHOI010_V9_S94_L001_380m_18S_taxonomy_2500_subsampled.NEW.csv","Alveolata","Dinoflagellata","Dinophyceae","Peridiniales","Blastodiniaceae","Blastodinium",2
"26","WHOI010_V9_S94_L001_380m_18S_taxonomy_2500_subsampled.NEW.csv","Alveolata","Dinoflagellata","Dinophyceae","Peridiniales","Kryptoperidiniaceae","Kryptoperidinium",1
"27","WHOI010_V9_S94_L001_380m_18S_taxonomy_2500_subsampled.NEW.csv","Alveolata","Dinoflagellata","Dinophyceae","Peridiniales","Peridiniales_unclassified","Peridiniales_unclassified",4
"28","WHOI010_V9_S94_L001_380m_18S_taxonomy_2500_subsampled.NEW.csv","Alveolata","Dinoflagellata","Dinophyceae","Peridiniales","Thoracosphaeraceae","Pentapharsodinium",1
"29","WHOI010_V9_S94_L001_380m_18S_taxonomy_2500_subsampled.NEW.csv","Alveolata","Dinoflagellata","Dinophyceae","Prorocentrales","Prorocentraceae","Prorocentrum",1
"30","WHOI010_V9_S94_L001_380m_18S_taxonomy_2500_subsampled.NEW.csv","Alveolata","Dinoflagellata","Dinophyceae","Suessiales","Suessiales_unclassified","Suessiales_unclassified",1
"31","WHOI010_V9_S94_L001_380m_18S_taxonomy_2500_subsampled.NEW.csv","Alveolata","Dinoflagellata","Dinophyceae","Torodiniales","Torodiniaceae","Torodinium",1
"32","WHOI010_V9_S94_L001_380m_18S_taxonomy_2500_subsampled.NEW.csv","Alveolata","Dinoflagellata","Noctilucophyceae","Noctilucales","Noctilucaceae","Noctilucaceae_unclassified",1
"33","WHOI010_V9_S94_L001_380m_18S_taxonomy_2500_subsampled.NEW.csv","Alveolata","Dinoflagellata","Syndiniales","Dino-Group-II","Dino-Group-II-Clade-10-and-11","Dino-Group-II-Clade-10-and-11_X",2
"34","WHOI010_V9_S94_L001_380m_18S_taxonomy_2500_subsampled.NEW.csv","Alveolata","Dinoflagellata","Syndiniales","Syndiniales_unclassified","Syndiniales_unclassified","Syndiniales_unclassified",1
"35","WHOI010_V9_S94_L001_380m_18S_taxonomy_2500_subsampled.NEW.csv","Archaeplastida","Archaeplastida_unclassified","Archaeplastida_unclassified","Archaeplastida_unclassified","Archaeplastida_unclassified","Archaeplastida_unclassified",3
"36","WHOI010_V9_S94_L001_380m_18S_taxonomy_2500_subsampled.NEW.csv","Archaeplastida","Chlorophyta","Chlorophyta_unclassified","Chlorophyta_unclassified","Chlorophyta_unclassified","Chlorophyta_unclassified",16
"37","WHOI010_V9_S94_L001_380m_18S_taxonomy_2500_subsampled.NEW.csv","Archaeplastida","Chlorophyta","Chloropicophyceae","Chloropicales","Chloropicaceae","Chloroparvula",2
"38","WHOI010_V9_S94_L001_380m_18S_taxonomy_2500_subsampled.NEW.csv","Archaeplastida","Chlorophyta","Chloropicophyceae","Chloropicales","Chloropicaceae","Chloropicon",4
"39","WHOI010_V9_S94_L001_380m_18S_taxonomy_2500_subsampled.NEW.csv","Archaeplastida","Chlorophyta","Mamiellophyceae","Mamiellales","Bathycoccaceae","Bathycoccus",3
