Sample,Class,,Percent,,,
9_40m,Prochlorococcus,1756,31.53735632, , ,5568
9_40m,Synechococcus,91,1.63433908,,,
9_40m,Alphaproteobacteria,278,4.992816092,,,
9_40m,Gammaproteobacteria,196,3.520114943,,,
9_40m,Bacteroidetes ,367,6.591235632,,,
9_40m,Archaea,35,0.628591954,,,
9_40m,Deltaproteobacteria,1086,19.50431034,,,
9_40m,Other bacteria,503,9.033764368,,,
9_40m,Other cyanobacteria,1254,22.52155172,,,
9_40m,Other proteobacteria,2,0.03591954,,,
9_70m,Gammaproteobacteria,1303,22.92399719,, ,5684
9_70m,Betaproteobacteria,263,4.627023223,,,
9_70m,Alphaproteobacteria,550,9.676284307,, ,
9_70m,Prochlorococcus,312,5.489092189,,,
9_70m,Synechococcus,5,0.087966221,,,
9_70m,Bacteroidetes ,458,8.057705841,,,
9_70m,Deltaproteobacteria,623,10.96059113,,,
9_70m,Archaea,121,2.128782548,,,
9_70m,Other bacteria,1856,32.65306122,,,
9_70m,Other cyanobacteria,186,3.27234342,,,
9_70m,Other proteobacteria,7,0.123152709,,,
9_380m,Prochlorococcus,2336,41.04005622,, ,5692
9_380m,Synechococcus,62,1.089248067,,,
9_380m,Gammaproteobacteria,1002,17.60365425,,,
9_380m,Betaproteobacteria,18,0.31623331,,,
9_380m,Alphaproteobacteria,305,5.358397751,,,
9_380m,Bacteroidetes ,516,9.065354884,,,
9_380m,Deltaproteobacteria,510,8.959943781,,,
9_380m,Archaea,31,0.544624034,,,
9_380m,Other bacteria,237,4.16373858,,,
9_380m,Other cyanobacteria,675,11.85874912,,,
9_380m,Other proteobacteria,0,0,,,
